column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_pdi
2007:Q1,114.87,107.89,109.51,108.04,103.88,103.5,108.28,106.87,106.67,103.77,106.01,105.36,102,105.65978513099964,106.73703272567236,103.86,99.67,109.16,108.82,108.24,117.39,,106.63494164156222
2007:Q2,117.52,108.21,109.19,109.11,104.12,104.83,108.6,108.26,107.57,105.67,109.55,106.15,102.05,106.74540500716861,108.10496772400042,106.12,100.44,111.79,109.56,109.01,120.97,,107.4357061516839
2007:Q3,118.21,108.89,111.1,109.99,105.06,104.09,108.89,110.22,108.74,106.89,109.9,105.96,102.28,107.96885226111716,109.33811064493445,107.83,101.92,114.76,109.93,109.75,124.53,,108.23719652264259
2007:Q4,120.14,110.49,112.65,110.69,106.23,106.72,112.55,111.06,110.14,107.84,108.39,106.82,102.22,109.26735713245351,110.71789917545678,108.65,103.38,117.22,111.59,111.21,127.46,,109.50584264170556
2008:Q1,121.04,112.56,115.14,111.17,106.74,106.44,114.67,110.97,111.16,107.55,112.21,107.94,102.21,111.12895164397486,112.35707437568489,108.7,104.74,118.46,113.36,113.85,129.25,,111.06764691990485
2008:Q2,120.49,113.52,115.46,111.53,108.4,107.33,115.73,114.48,111.43,110.82,115.31,109.06,102.21,112.47551476229746,113.48078956052788,108.26,106.24,119.52,115.77,117.1,131.85,,112.98984291864372
2008:Q3,120.87,113.98,115.36,111.73,108.37,106.38,116.57,115.9,111.1,110.54,114.36,107.2,102.32,113.59761435482923,113.94628176747021,107.8,107.81,119.51,115.66,115.36,135.29,,112.29174841587603
2008:Q4,130.64,114.54,115.77,111.78,107.77,106.97,115.5,117.23,111.07,111.76,113.35,104.43,102.36,114.58356695093241,113.82383859045207,106.51,109.29,119.52,115.23,113.38,136.47,,111.61437183231388
2009:Q1,128.88,115.39,115.56,110.89,106.83,107.92,116.26,115.95,110.78,109.27,113.25,104.44,102.38,114.68752339876853,113.71901596506488,106.16,110.46,119.12,117.05,111.25,135.21,,110.49989845680744
2009:Q2,132.46,115.11,116.12,110.94,107.77,108.83,117,117.72,111.3,114,111.63,103.05,102.6,115.78270607764249,114.1786258695694,105.75,112.06,119.47,118.31,111.31,136.6,,111.08290765718499
2009:Q3,129.44,114.74,116.42,111.16,108.32,109.12,115.8,119.34,111.72,114.49,107.72,102.98,102.74,117.06393040871237,115.04829925627068,105.33,113.94,120.17,119.41,110.13,137.78,,110.68715965402379
2009:Q4,130.53,114.13,117.01,111.53,108.4,111.81,115.34,121.27,111.74,115.64,105.53,102.93,103,118.60469604382033,116.73674900547162,106.72,115.25,121.24,120.54,110.58,140.57,,111.15727442290607
2010:Q1,132.84,114.25,117.04,112.38,109.42,113.25,113.9,120.17,112.12,117.67,104.03,103.02,103.22,121.05282016920374,119.22397315990614,106.22,116.07,122.05,120.5,112.38,143.14,,112.26609825501464
2010:Q2,133.13,115.25,120.83,112.95,110.82,114.88,112.61,122.25,112.72,118.31,104.66,103.44,103.29,122.73054880142809,122.1271268342277,106.73,116.86,123.25,121.05,114.04,144.87,,113.39774977459396
2010:Q3,136,115.63,118.98,113.54,112.44,116.02,112.03,124.47,113.8,119.62,102.44,103.59,103.37,124.34141719857539,125.65020807074872,107.98,117.9,124.29,122.99,114.47,147.47,,113.99756150547171
2010:Q4,138.71,115.38,121.25,114,113.36,117.07,113.2,127.18,114.54,119.48,99.35,104.37,103.52,125.91361949487856,129.6473606461407,108.4,119,125.41,125.21,115.16,150.71,,114.7786046793881
2011:Q1,141.87,115.24,123.06,114.46,113.25,118.83,112.99,125.9,115.5,119.71,99.92,104.85,103.66,127.43178830069664,134.0141230465776,109.28,120.32,126.68,126.56,117.13,154.23,,115.96091044153764
2011:Q2,142.36,115.74,123.4,115.14,114.23,119.86,112.81,128.06,116.41,121.01,102.17,105.01,103.88,128.81225839558613,137.74945888466533,109.57,121.46,127.9,127.88,117.52,157.62,,116.54897181594681
2011:Q3,144.28,116.97,124.55,115.81,115.5,119.41,112.64,129.81,116.45,121.59,102.05,105.91,103.83,130.1423765364477,140.5558150102664,109.07,122.76,129.47,128.93,117.55,160.28,,116.9440081874156
2011:Q4,144.74,117.36,125.1,116.55,116.03,119.11,113,131.31,116.89,123.11,101.02,106.04,103.35,131.42723334886892,142.37783469402197,109.56,123.95,130.85,129.18,117.64,165.8,,117.28834273899378
2012:Q1,145.28,117.82,126.71,117.77,117.32,120.51,112.11,130.22,117.39,123.98,103.33,104.68,103.42,133.1647710211843,142.13903762870962,109.14,125.06,132.07,130.66,118.34,167.96,,117.86892137855122
2012:Q2,148.5,119.08,127.78,118.71,116.61,120.98,110.4,132.43,117.69,125.92,105,102.75,103.58,134.07436460863713,143.61101134009485,108.42,125.67,132.31,132.76,118.96,170.43,,118.28696379371442
2012:Q3,149.05,120.25,128.41,119.6,116.83,120.56,110.58,134.18,117.82,126.74,103.75,103.3,104.12,134.45128984040585,144.20629703042243,108.48,126.56,132.76,134.18,119.34,172.49,,118.73776866033673
2012:Q4,150.32,120.48,129.62,120.44,117.55,121.05,110.2,135.79,116.88,127.99,102.18,103.33,104.71,134.43769945805184,143.9834070332443,108.31,128.04,133.07,135.91,122.39,178.29,,120.29082926090284
2013:Q1,151.63,121.3,130.25,121.58,117.97,121.02,111.88,136.01,118.69,126.47,102.33,103.85,105.09,134.0679219263043,144.42331372868648,108.26,129.6,134.11,137.06,119.96,179.96,,119.60293760248497
